Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:403SdJ62eNPjNc94vJQJOu,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,1,Matt & Kim vibes I like it,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,3,Straight summer vibes plus you’re putting me on to new Lupe?? Thought this was perfect for the category 🤝,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,1,For some reason I couldn’t get away from this song last summer 🤔 ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,ed99ad3ac5e8411092dfa37b02060bd6,2024-10-09T14:51:30Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,0,The lesser Gracie song of the summer ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,0,Vibey but less my vibe ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,-1,Minus one was for the last 20 seconds which is the only thing I could find wrong with any of these songs so sorry I liked the rest of the song,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,0,Would not have been my pic for a song from this album or a posty song,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,1,No way Russell Wilson is married to someone this cool,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3uY2ofAOXikujtpodDaNQA,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,1,Would agree I want to drive down the pacific coast highway to this,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,0,Last season of music league didn’t have any EDM. This must be someone new,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,2,1:55 to 2:10 was a great transition ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,2,I thought this was cage at first and was surprised because I didn’t love anything from their new album,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,3,Very girlie pop. And a cool name. Great vibes,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,2,A bop and a vibe,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,0,Would have given it some votes if it was anyone but Morgan wallen featured ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,1,Really went for the throwback Dua Alyssa. This is probably not on the list of top 10 dua songs that I think of but it’s a banger. And yeah her new album wasn’t great unfortunately ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,8f83714196d84b7bb59167e6cf50dafc,2024-10-09T17:23:50Z,0,Liked a lot but less for the theme,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,Groooovy,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,I rlly rlly like this song ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,-1,"This has gotta be a nick Ringle submission, sorry man but boooo Morgan wallen ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,0,NEON TREES IM SORRY WHAT ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,2,"This is GOOD, reminds me of cage the elephant ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,This is convincing me to listen to Fred again ,2be216f7413f4f7bae842351b9ab7fd3
